,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도
205,현대남부서비스센터,연중무휴,0:00,23:59,N,Y,0.0,1.0,N,37.51394627,126.9344456
206,동작구청,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.51252922,126.9399439
207,숭실대학교,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.496429600000006,126.9551598
208,한국전력관악동작지사,연중무휴,0:00,23:00,N,Y,0.0,1.0,Y,37.47830829,126.98095670000001
209,서울시여성가족재단,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.51161025,126.92722690000001
210,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
211,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
212,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
213,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
214,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
215,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
216,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
217,숭실대학교,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.496429600000006,126.9551598
218,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
219,종로구_가회동주민센터,공휴일,9:00,18:00,Y,N,1.0,0.0,Y,37.58004996,126.98478899999999
220,서울시 성균관대학교 인문사회과학캠퍼스,연중무휴,0:00,23:59,Y,N,5.0,0.0,Y,37.58722985,126.99311609999998
221,경희궁3단지아파트302동,연중무휴,0:00,23:59,Y,N,4.0,0.0,N,37.56892752,126.96514540000001
222,경희궁3단지아파트306동,연중무휴,0:00,23:59,Y,N,3.0,0.0,N,37.56892752,126.96514540000001
223,춘원당한방박물관,연중무휴,9:00,18:00,Y,N,2.0,0.0,Y,37.571501899999994,126.99024240000001
224,SK서린빌딩,연중무휴,6:00,23:59,N,Y,0.0,2.0,Y,37.56969146,126.9803041
225,인왕산아이파크,연중무휴,0:00,23:59,Y,N,3.0,0.0,Y,37.57767108,126.9553557
226,광화문풍림스페이스본,연중무휴,0:00,23:59,Y,N,3.0,0.0,Y,37.5746552,126.968575
227,변산힐링밸리민박,연중무휴,0:00,23:59,Y,N,2.0,0.0,Y,37.57610457,126.9987457
228,성북벤처빌딩 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.60935729,127.05303500000001
229,고려대학교,연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.58870342,127.03169809999999
230,고려대학교(자연과학),연중무휴,0:00,23:59,Y,Y,1.0,1.0,Y,37.58870342,127.03169809999999
231,성북구 보건소,연중무휴,9:00,18:00,Y,N,1.0,0.0,Y,37.60270967,127.0395315
232,이마트 하월곡점,연중무휴,0:00,23:59,Y,Y,2.0,8.0,Y,37.6050584,127.03098929999999
233,서경대학교 1주차장,연중무휴,0:00,23:55,Y,N,2.0,0.0,Y,37.61487175,127.0127852
234,서경대학교 2주차장,연중무휴,0:00,23:55,Y,N,5.0,0.0,Y,37.61487175,127.0127852
235,성북소방서,주말,9:00,18:00,Y,N,1.0,0.0,Y,37.60242371,127.03174920000001
236,한국예술종합학교(종로),연중무휴,0:00,22:00,N,Y,0.0,1.0,Y,37.58203308,126.9970157
237,서울역사박물관,연중무휴,0:00,23:59,N,Y,0.0,2.0,Y,37.57050028,126.9703743
238,부암동 주민센터,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.59241069,126.9640655
239,서울역사박물관,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.57050028,126.9703743
240,광화문시민열린마당 공영주차장,연중무휴,0:00,23:59,Y,Y,1.0,3.0,Y,37.575336,126.97888529999999
241,서울시 서울디자인 지원센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.57285709,127.00851259999999
